MATCH_ID,Batter,Dismissal,Runs,Balls,Minutes,4s,6s,SR
"20th Match (D/N), Wankhede, April 07",Kumar Kushagra,out,0,1,1,0,0,0.00
"20th Match (D/N), Wankhede, April 07",Jhye Richardson,out,2,2,1,0,0,100.00
"21st Match (N), Lucknow, April 07",Quinton de Kock,out,6,4,2,0,1,150.00
"21st Match (N), Lucknow, April 07",KL Rahul (c)†,out,33,31,60,3,0,106.45
"21st Match (N), Lucknow, April 07",Devdutt Padikkal,out,7,7,11,1,0,100.00
"21st Match (N), Lucknow, April 07",Marcus Stoinis,out,58,43,56,4,2,134.88
"21st Match (N), Lucknow, April 07",Nicholas Pooran,not out,32,22,35,0,3,145.45
"21st Match (N), Lucknow, April 07",Ayush Badoni,out,20,11,15,3,0,181.81
"21st Match (N), Lucknow, April 07",Krunal Pandya,not out,2,2,8,0,0,100.00
"21st Match (N), Lucknow, April 07",Sai Sudharsan,out,31,23,39,4,0,134.78
"21st Match (N), Lucknow, April 07",Shubman Gill (c),out,19,21,29,2,0,90.47
"21st Match (N), Lucknow, April 07",Kane Williamson,out,1,5,4,0,0,20.00
"21st Match (N), Lucknow, April 07",BR Sharath †,out,2,5,7,0,0,40.00
"21st Match (N), Lucknow, April 07",Vijay Shankar,out,17,17,26,0,1,100.00
"21st Match (N), Lucknow, April 07",Darshan Nalkande,out,12,11,12,0,1,109.09
"21st Match (N), Lucknow, April 07",Rahul Tewatia,out,30,25,35,2,2,120.00
"21st Match (N), Lucknow, April 07",Rashid Khan,out,0,3,2,0,0,0.00
"21st Match (N), Lucknow, April 07",Umesh Yadav,out,2,4,7,0,0,50.00
"21st Match (N), Lucknow, April 07",Spencer Johnson,not out,0,1,16,0,0,0.00
"21st Match (N), Lucknow, April 07",Noor Ahmad,out,4,2,2,1,0,200.00
"22nd Match (N), Chennai, April 08",Phil Salt †,out,0,1,1,0,0,0.00
"22nd Match (N), Chennai, April 08",Sunil Narine,out,27,20,36,3,2,135.00
"22nd Match (N), Chennai, April 08",Angkrish Raghuvanshi,out,24,18,30,3,1,133.33
"22nd Match (N), Chennai, April 08",Shreyas Iyer (c),out,34,32,62,3,0,106.25
"22nd Match (N), Chennai, April 08",Venkatesh Iyer,out,3,8,6,0,0,37.50
"22nd Match (N), Chennai, April 08",Ramandeep Singh,out,13,12,3,0,1,108.33
"22nd Match (N), Chennai, April 08",Rinku Singh,out,9,14,22,0,0,64.28
"22nd Match (N), Chennai, April 08",Andre Russell,out,10,10,11,2,0,100.00
"22nd Match (N), Chennai, April 08",Anukul Roy,not out,3,3,9,0,0,100.00
"22nd Match (N), Chennai, April 08",Mitchell Starc,out,0,3,2,0,0,0.00
"22nd Match (N), Chennai, April 08",Vaibhav Arora,not out,1,1,2,0,0,100.00
"22nd Match (N), Chennai, April 08",Rachin Ravindra,out,15,8,18,3,0,187.50
"22nd Match (N), Chennai, April 08",Ruturaj Gaikwad (c),not out,67,58,83,9,0,115.51
"22nd Match (N), Chennai, April 08",Daryl Mitchell,out,25,19,39,1,1,131.57
"22nd Match (N), Chennai, April 08",Shivam Dube,out,28,18,19,1,3,155.55
"22nd Match (N), Chennai, April 08",MS Dhoni †,not out,1,3,3,0,0,33.33
"23rd Match (N), Mullanpur, April 09",Travis Head,out,21,15,-,4,0,140.00
"23rd Match (N), Mullanpur, April 09",Abhishek Sharma,out,16,11,-,2,1,145.45
"23rd Match (N), Mullanpur, April 09",Aiden Markram,out,0,2,-,0,0,0.00
"23rd Match (N), Mullanpur, April 09",Nitish Kumar Reddy,out,64,37,-,4,5,172.97
"23rd Match (N), Mullanpur, April 09",Rahul Tripathi,out,11,14,-,1,0,78.57
"23rd Match (N), Mullanpur, April 09",Heinrich Klaasen †,out,9,9,-,1,0,100.00
"23rd Match (N), Mullanpur, April 09",Abdul Samad,out,25,12,-,5,0,208.33
"23rd Match (N), Mullanpur, April 09",Shahbaz Ahmed,not out,14,7,-,1,1,200.00
"23rd Match (N), Mullanpur, April 09",Pat Cummins (c),out,3,4,-,0,0,75.00
"23rd Match (N), Mullanpur, April 09",Bhuvneshwar Kumar,out,6,8,-,0,0,75.00
"23rd Match (N), Mullanpur, April 09",Jaydev Unadkat,not out,6,1,-,0,1,600.00
"23rd Match (N), Mullanpur, April 09",Shikhar Dhawan (c),out,14,16,22,2,0,87.50
"23rd Match (N), Mullanpur, April 09",Jonny Bairstow,out,0,3,7,0,0,0.00
"23rd Match (N), Mullanpur, April 09",Prabhsimran Singh,out,4,6,5,1,0,66.66
"23rd Match (N), Mullanpur, April 09",Sam Curran,out,29,22,29,2,2,131.81
"23rd Match (N), Mullanpur, April 09",Sikandar Raza,out,28,22,38,2,2,127.27
"23rd Match (N), Mullanpur, April 09",Shashank Singh,not out,46,25,51,6,1,184.00
"23rd Match (N), Mullanpur, April 09",Jitesh Sharma †,out,19,11,11,1,1,172.72
"23rd Match (N), Mullanpur, April 09",Ashutosh Sharma,not out,33,15,23,3,2,220.00
"24th Match (N), Jaipur, April 10",Yashasvi Jaiswal,out,24,19,19,5,0,126.31
"24th Match (N), Jaipur, April 10",Jos Buttler,out,8,10,27,0,0,80.00
"24th Match (N), Jaipur, April 10",Sanju Samson (c)†,not out,68,38,78,7,2,178.94
"24th Match (N), Jaipur, April 10",Riyan Parag,out,76,48,62,3,5,158.33
"24th Match (N), Jaipur, April 10",Shimron Hetmyer,not out,13,5,9,1,1,260.00
"24th Match (N), Jaipur, April 10",Sai Sudharsan,out,35,29,36,3,1,120.68
"24th Match (N), Jaipur, April 10",Shubman Gill (c),out,72,44,77,6,2,163.63
"24th Match (N), Jaipur, April 10",Matthew Wade †,out,4,6,10,0,0,66.66
"24th Match (N), Jaipur, April 10",Abhinav Manohar,out,1,2,2,0,0,50.00
"24th Match (N), Jaipur, April 10",Vijay Shankar,out,16,10,15,3,0,160.00
"24th Match (N), Jaipur, April 10",Rahul Tewatia,out,22,11,42,3,0,200.00
"24th Match (N), Jaipur, April 10",M Shahrukh Khan,out,14,8,14,1,1,175.00
"24th Match (N), Jaipur, April 10",Rashid Khan,not out,24,11,21,4,0,218.18
"24th Match (N), Jaipur, April 10",Noor Ahmad,not out,0,0,1,0,0,-
"25th Match (N), Wankhede, April 11",Virat Kohli,out,3,9,10,0,0,33.33
"25th Match (N), Wankhede, April 11",Faf du Plessis (c),out,61,40,88,4,3,152.50
"25th Match (N), Wankhede, April 11",Will Jacks,out,8,6,5,2,0,133.33
"25th Match (N), Wankhede, April 11",Rajat Patidar,out,50,26,39,3,4,192.30
"25th Match (N), Wankhede, April 11",Glenn Maxwell,out,0,4,5,0,0,0.00
"25th Match (N), Wankhede, April 11",Dinesh Karthik †,not out,53,23,50,5,4,230.43
"25th Match (N), Wankhede, April 11",Mahipal Lomror,out,0,1,2,0,0,0.00
"25th Match (N), Wankhede, April 11",Saurav Chauhan,out,9,8,10,1,0,112.50
"25th Match (N), Wankhede, April 11",Vijaykumar Vyshak,out,0,1,1,0,0,0.00
"25th Match (N), Wankhede, April 11",Akash Deep,not out,2,2,10,0,0,100.00
"25th Match (N), Wankhede, April 11",Ishan Kishan †,out,69,34,43,7,5,202.94
"25th Match (N), Wankhede, April 11",Rohit Sharma,out,38,24,59,3,3,158.33
"25th Match (N), Wankhede, April 11",Suryakumar Yadav,out,52,19,27,5,4,273.68
"25th Match (N), Wankhede, April 11",Hardik Pandya (c),not out,21,6,23,0,3,350.00
"25th Match (N), Wankhede, April 11",Tilak Varma,not out,16,10,10,3,0,160.00
"26th Match (N), Lucknow, April 12",Quinton de Kock,out,19,13,15,4,0,146.15
"26th Match (N), Lucknow, April 12",KL Rahul (c)†,out,39,22,56,5,1,177.27
"26th Match (N), Lucknow, April 12",Devdutt Padikkal,out,3,6,12,0,0,50.00
"26th Match (N), Lucknow, April 12",Marcus Stoinis,out,8,10,14,1,0,80.00
"26th Match (N), Lucknow, April 12",Nicholas Pooran,out,0,1,1,0,0,0.00
"26th Match (N), Lucknow, April 12",Deepak Hooda,out,10,13,18,0,0,76.92
"26th Match (N), Lucknow, April 12",Ayush Badoni,not out,55,35,51,5,1,157.14
"26th Match (N), Lucknow, April 12",Krunal Pandya,out,3,4,7,0,0,75.00
"26th Match (N), Lucknow, April 12",Arshad Khan,not out,20,16,33,2,0,125.00
"26th Match (N), Lucknow, April 12",Prithvi Shaw,out,32,22,33,6,0,145.45
"26th Match (N), Lucknow, April 12",David Warner,out,8,9,19,1,0,88.88
"26th Match (N), Lucknow, April 12",Jake Fraser-McGurk,out,55,35,48,2,5,157.14
"26th Match (N), Lucknow, April 12",Rishabh Pant (c)†,out,41,24,38,4,2,170.83
"26th Match (N), Lucknow, April 12",Tristan Stubbs,not out,15,9,16,0,1,166.66
"26th Match (N), Lucknow, April 12",Shai Hope,not out,11,10,12,1,0,110.00
"27th Match (N), Mullanpur, April 13",Atharva Taide,out,15,12,19,2,0,125.00
"27th Match (N), Mullanpur, April 13",Jonny Bairstow,out,15,19,39,1,0,78.94
"27th Match (N), Mullanpur, April 13",Prabhsimran Singh,out,10,14,13,1,0,71.42
"27th Match (N), Mullanpur, April 13",Sam Curran (c),out,6,10,12,0,0,60.00
"27th Match (N), Mullanpur, April 13",Jitesh Sharma †,out,29,24,35,1,2,120.83
"27th Match (N), Mullanpur, April 13",Shashank Singh,out,9,9,12,1,0,100.00
"27th Match (N), Mullanpur, April 13",Liam Livingstone,out,21,14,25,2,1,150.00
"27th Match (N), Mullanpur, April 13",Ashutosh Sharma,out,31,16,20,1,3,193.75
"27th Match (N), Mullanpur, April 13",Harpreet Brar,not out,3,3,11,0,0,100.00
"27th Match (N), Mullanpur, April 13",Yashasvi Jaiswal,out,39,28,52,4,0,139.28
"27th Match (N), Mullanpur, April 13",Tanush Kotian,out,24,31,38,3,0,77.41
"27th Match (N), Mullanpur, April 13",Sanju Samson (c)†,out,18,14,22,1,1,128.57
"27th Match (N), Mullanpur, April 13",Riyan Parag,out,23,18,22,1,1,127.77
"27th Match (N), Mullanpur, April 13",Dhruv Jurel,out,6,11,19,0,0,54.54
"27th Match (N), Mullanpur, April 13",Shimron Hetmyer,not out,27,10,22,1,3,270.00
"27th Match (N), Mullanpur, April 13",Rovman Powell,out,11,5,6,2,0,220.00
"27th Match (N), Mullanpur, April 13",Keshav Maharaj,out,1,2,3,0,0,50.00
"27th Match (N), Mullanpur, April 13",Trent Boult,not out,0,0,4,0,0,-
"28th Match (D/N), Eden Gardens, April 14",Quinton de Kock,out,10,8,12,2,0,125.00
"28th Match (D/N), Eden Gardens, April 14",KL Rahul (c)†,out,39,27,52,3,2,144.44
"28th Match (D/N), Eden Gardens, April 14",Deepak Hooda,out,8,10,14,1,0,80.00
"28th Match (D/N), Eden Gardens, April 14",Ayush Badoni,out,29,27,44,2,1,107.40
"28th Match (D/N), Eden Gardens, April 14",Marcus Stoinis,out,10,5,5,2,0,200.00
"28th Match (D/N), Eden Gardens, April 14",Nicholas Pooran,out,45,32,37,2,4,140.62
"28th Match (D/N), Eden Gardens, April 14",Krunal Pandya,not out,7,8,30,0,0,87.50
"28th Match (D/N), Eden Gardens, April 14",Arshad Khan,out,5,4,4,1,0,125.00
"28th Match (D/N), Eden Gardens, April 14",Phil Salt †,not out,89,47,79,14,3,189.36
"28th Match (D/N), Eden Gardens, April 14",Sunil Narine,out,6,6,10,1,0,100.00
"28th Match (D/N), Eden Gardens, April 14",Angkrish Raghuvanshi,out,7,6,7,0,1,116.66
"28th Match (D/N), Eden Gardens, April 14",Shreyas Iyer (c),not out,38,38,59,6,0,100.00
"29th Match (N), Wankhede, April 14",Ajinkya Rahane,out,5,8,8,1,0,62.50
"29th Match (N), Wankhede, April 14",Rachin Ravindra,out,21,16,37,2,1,131.25
"29th Match (N), Wankhede, April 14",Ruturaj Gaikwad (c),out,69,40,70,5,5,172.50
"29th Match (N), Wankhede, April 14",Shivam Dube,not out,66,38,68,10,2,173.68
"29th Match (N), Wankhede, April 14",Daryl Mitchell,out,17,14,23,1,0,121.42
"29th Match (N), Wankhede, April 14",MS Dhoni †,not out,20,4,4,0,3,500.00
"29th Match (N), Wankhede, April 14",Rohit Sharma,not out,105,63,99,11,5,166.66
"29th Match (N), Wankhede, April 14",Ishan Kishan †,out,23,15,31,3,1,153.33
"29th Match (N), Wankhede, April 14",Suryakumar Yadav,out,0,2,2,0,0,0.00
"29th Match (N), Wankhede, April 14",Tilak Varma,out,31,20,27,5,0,155.00
"29th Match (N), Wankhede, April 14",Hardik Pandya (c),out,2,6,8,0,0,33.33
"29th Match (N), Wankhede, April 14",Tim David,out,13,5,6,0,2,260.00
"29th Match (N), Wankhede, April 14",Romario Shepherd,out,1,2,4,0,0,50.00
"29th Match (N), Wankhede, April 14",Mohammad Nabi,not out,4,7,13,0,0,57.14
"30th Match (N), Bengaluru, April 15",Abhishek Sharma,out,34,22,34,2,2,154.54
"30th Match (N), Bengaluru, April 15",Travis Head,out,102,41,58,9,8,248.78
"30th Match (N), Bengaluru, April 15",Heinrich Klaasen †,out,67,31,46,2,7,216.12
"30th Match (N), Bengaluru, April 15",Aiden Markram,not out,32,17,39,2,2,188.23
"30th Match (N), Bengaluru, April 15",Abdul Samad,not out,37,10,16,4,3,370.00
"30th Match (N), Bengaluru, April 15",Virat Kohli,out,42,20,26,6,2,210.00
"30th Match (N), Bengaluru, April 15",Faf du Plessis (c),out,62,28,40,7,4,221.42
"30th Match (N), Bengaluru, April 15",Will Jacks,out,7,4,7,1,0,175.00
"30th Match (N), Bengaluru, April 15",Rajat Patidar,out,9,5,3,0,1,180.00
"30th Match (N), Bengaluru, April 15",Saurav Chauhan,out,0,1,6,0,0,0.00
"30th Match (N), Bengaluru, April 15",Dinesh Karthik †,out,83,35,52,5,7,237.14
"30th Match (N), Bengaluru, April 15",Mahipal Lomror,out,19,11,23,0,2,172.72
"30th Match (N), Bengaluru, April 15",Anuj Rawat,not out,25,14,29,5,0,178.57
"30th Match (N), Bengaluru, April 15",Vijaykumar Vyshak,not out,1,2,4,0,0,50.00
"31st Match (N), Eden Gardens, April 16",Phil Salt †,out,10,13,16,1,0,76.92
"31st Match (N), Eden Gardens, April 16",Sunil Narine,out,109,56,89,13,6,194.64
"31st Match (N), Eden Gardens, April 16",Angkrish Raghuvanshi,out,30,18,34,5,0,166.66
"31st Match (N), Eden Gardens, April 16",Shreyas Iyer (c),out,11,7,10,1,1,157.14
"31st Match (N), Eden Gardens, April 16",Andre Russell,out,13,10,18,2,0,130.00
"31st Match (N), Eden Gardens, April 16",Rinku Singh,not out,20,9,23,1,2,222.22
"31st Match (N), Eden Gardens, April 16",Venkatesh Iyer,out,8,6,8,1,0,133.33
"31st Match (N), Eden Gardens, April 16",Ramandeep Singh,not out,1,1,3,0,0,100.00
"31st Match (N), Eden Gardens, April 16",Yashasvi Jaiswal,out,19,9,9,3,1,211.11
"31st Match (N), Eden Gardens, April 16",Jos Buttler,not out,107,60,113,9,6,178.33
"31st Match (N), Eden Gardens, April 16",Sanju Samson (c)†,out,12,8,13,2,0,150.00
"31st Match (N), Eden Gardens, April 16",Riyan Parag,out,34,14,17,4,2,242.85
"31st Match (N), Eden Gardens, April 16",Dhruv Jurel,out,2,4,5,0,0,50.00
"31st Match (N), Eden Gardens, April 16",Ravichandran Ashwin,out,8,11,19,1,0,72.72
"31st Match (N), Eden Gardens, April 16",Shimron Hetmyer,out,0,1,1,0,0,0.00
"31st Match (N), Eden Gardens, April 16",Rovman Powell,out,26,13,22,1,3,200.00
"31st Match (N), Eden Gardens, April 16",Trent Boult,out,0,1,5,0,0,0.00
"31st Match (N), Eden Gardens, April 16",Avesh Khan,not out,0,0,14,0,0,-
"32nd Match (N), Ahmedabad, April 17",Wriddhiman Saha †,out,2,10,21,0,0,20.00
"32nd Match (N), Ahmedabad, April 17",Shubman Gill (c),out,8,6,9,2,0,133.33
"32nd Match (N), Ahmedabad, April 17",Sai Sudharsan,out,12,9,15,2,0,133.33
"32nd Match (N), Ahmedabad, April 17",David Miller,out,2,6,8,0,0,33.33
"32nd Match (N), Ahmedabad, April 17",Abhinav Manohar,out,8,14,24,1,0,57.14
"32nd Match (N), Ahmedabad, April 17",Rahul Tewatia,out,10,15,34,1,0,66.66
"32nd Match (N), Ahmedabad, April 17",M Shahrukh Khan,out,0,1,3,0,0,0.00
"32nd Match (N), Ahmedabad, April 17",Rashid Khan,out,31,24,34,2,1,129.16
"32nd Match (N), Ahmedabad, April 17",Mohit Sharma,out,2,14,13,0,0,14.28
"32nd Match (N), Ahmedabad, April 17",Noor Ahmad,out,1,7,10,0,0,14.28
"32nd Match (N), Ahmedabad, April 17",Spencer Johnson,not out,1,1,1,0,0,100.00
"32nd Match (N), Ahmedabad, April 17",Prithvi Shaw,out,7,6,16,1,0,116.66
"32nd Match (N), Ahmedabad, April 17",Jake Fraser-McGurk,out,20,10,10,2,2,200.00
"32nd Match (N), Ahmedabad, April 17",Abishek Porel,out,15,7,19,2,1,214.28
"32nd Match (N), Ahmedabad, April 17",Shai Hope,out,19,10,20,1,2,190.00
"32nd Match (N), Ahmedabad, April 17",Rishabh Pant (c)†,not out,16,11,15,1,1,145.45
"32nd Match (N), Ahmedabad, April 17",Sumit Kumar,not out,9,9,11,2,0,100.00
"33rd Match (N), Mullanpur, April 18",Ishan Kishan †,out,8,8,9,1,0,100.00
"33rd Match (N), Mullanpur, April 18",Rohit Sharma,out,36,25,55,2,3,144.00
"33rd Match (N), Mullanpur, April 18",Suryakumar Yadav,out,78,53,74,7,3,147.16
"33rd Match (N), Mullanpur, April 18",Tilak Varma,not out,34,18,51,2,2,188.88
"33rd Match (N), Mullanpur, April 18",Hardik Pandya (c),out,10,6,7,0,1,166.66
"33rd Match (N), Mullanpur, April 18",Tim David,out,14,7,10,2,1,200.00
"33rd Match (N), Mullanpur, April 18",Romario Shepherd,out,1,2,3,0,0,50.00
"33rd Match (N), Mullanpur, April 18",Mohammad Nabi,out,0,1,1,0,0,0.00
"33rd Match (N), Mullanpur, April 18",Sam Curran (c),out,6,7,11,1,0,85.71
"33rd Match (N), Mullanpur, April 18",Prabhsimran Singh,out,0,1,3,0,0,0.00
"33rd Match (N), Mullanpur, April 18",Rilee Rossouw,out,1,3,5,0,0,33.33
"33rd Match (N), Mullanpur, April 18",Liam Livingstone,out,1,2,4,0,0,50.00
"33rd Match (N), Mullanpur, April 18",Harpreet Singh,out,13,15,23,2,0,86.66
"33rd Match (N), Mullanpur, April 18",Shashank Singh,out,41,25,52,2,3,164.00
"33rd Match (N), Mullanpur, April 18",Jitesh Sharma †,out,9,9,15,1,0,100.00
"33rd Match (N), Mullanpur, April 18",Ashutosh Sharma,out,61,28,42,2,7,217.85
"33rd Match (N), Mullanpur, April 18",Harpreet Brar,out,21,20,38,2,1,105.00
"33rd Match (N), Mullanpur, April 18",Harshal Patel,not out,1,4,15,0,0,25.00
"33rd Match (N), Mullanpur, April 18",Kagiso Rabada,out,8,3,5,0,1,266.66
"34th Match (N), Lucknow, April 19",Ajinkya Rahane,out,36,24,38,5,1,150.00
"34th Match (N), Lucknow, April 19",Rachin Ravindra,out,0,1,5,0,0,0.00
"34th Match (N), Lucknow, April 19",Ruturaj Gaikwad (c),out,17,13,14,1,0,130.76
"34th Match (N), Lucknow, April 19",Ravindra Jadeja,not out,57,40,76,5,1,142.50
"34th Match (N), Lucknow, April 19",Shivam Dube,out,3,8,12,0,0,37.50
"34th Match (N), Lucknow, April 19",Sameer Rizvi,out,1,5,5,0,0,20.00
"34th Match (N), Lucknow, April 19",Moeen Ali,out,30,20,22,0,3,150.00
"34th Match (N), Lucknow, April 19",MS Dhoni †,not out,28,9,15,3,2,311.11
"34th Match (N), Lucknow, April 19",Quinton de Kock,out,54,43,72,5,1,125.58
"34th Match (N), Lucknow, April 19",KL Rahul (c)†,out,82,53,85,9,3,154.71
"34th Match (N), Lucknow, April 19",Nicholas Pooran,not out,23,12,28,3,1,191.66
"34th Match (N), Lucknow, April 19",Marcus Stoinis,not out,8,7,13,1,0,114.28
"35th Match (N), Delhi, April 20",Travis Head,out,89,32,42,11,6,278.12
"35th Match (N), Delhi, April 20",Abhishek Sharma,out,46,12,28,2,6,383.33
"35th Match (N), Delhi, April 20",Aiden Markram,out,1,3,2,0,0,33.33
"35th Match (N), Delhi, April 20",Heinrich Klaasen †,out,15,8,11,0,2,187.50
"35th Match (N), Delhi, April 20",Nitish Kumar Reddy,out,37,27,37,2,2,137.03
"35th Match (N), Delhi, April 20",Shahbaz Ahmed,not out,59,29,54,2,5,203.44
"35th Match (N), Delhi, April 20",Abdul Samad,out,13,8,12,1,1,162.50
"35th Match (N), Delhi, April 20",Pat Cummins (c),out,1,1,3,0,0,100.00
"35th Match (N), Delhi, April 20",Washington Sundar,not out,0,0,1,0,0,-
"35th Match (N), Delhi, April 20",Prithvi Shaw,out,16,5,3,4,0,320.00
"35th Match (N), Delhi, April 20",David Warner,out,1,3,10,0,0,33.33
"35th Match (N), Delhi, April 20",Jake Fraser-McGurk,out,65,18,28,5,7,361.11
"35th Match (N), Delhi, April 20",Abishek Porel,out,42,22,29,7,1,190.90
"35th Match (N), Delhi, April 20",Tristan Stubbs,out,10,11,25,0,0,90.90
"35th Match (N), Delhi, April 20",Rishabh Pant (c)†,out,44,35,54,5,1,125.71
"35th Match (N), Delhi, April 20",Lalit Yadav,out,7,8,13,1,0,87.50
"35th Match (N), Delhi, April 20",Axar Patel,out,6,8,14,0,0,75.00
"35th Match (N), Delhi, April 20",Anrich Nortje,out,0,2,1,0,0,0.00
"35th Match (N), Delhi, April 20",Kuldeep Yadav,out,0,1,2,0,0,0.00
"35th Match (N), Delhi, April 20",Mukesh Kumar,not out,0,2,2,0,0,0.00
"36th Match (D/N), Eden Gardens, April 21",Phil Salt †,out,48,14,25,7,3,342.85
"36th Match (D/N), Eden Gardens, April 21",Sunil Narine,out,10,15,31,2,0,66.66
"36th Match (D/N), Eden Gardens, April 21",Angkrish Raghuvanshi,out,3,4,8,0,0,75.00
"36th Match (D/N), Eden Gardens, April 21",Venkatesh Iyer,out,16,8,13,3,0,200.00
"36th Match (D/N), Eden Gardens, April 21",Shreyas Iyer (c),out,50,36,58,7,1,138.88
"36th Match (D/N), Eden Gardens, April 21",Rinku Singh,out,24,16,21,2,1,150.00
"36th Match (D/N), Eden Gardens, April 21",Andre Russell,not out,27,20,37,4,0,135.00
"36th Match (D/N), Eden Gardens, April 21",Ramandeep Singh,not out,24,9,14,2,2,266.66
"36th Match (D/N), Eden Gardens, April 21",Virat Kohli,out,18,7,17,1,2,257.14
"36th Match (D/N), Eden Gardens, April 21",Faf du Plessis (c),out,7,7,25,1,0,100.00
"36th Match (D/N), Eden Gardens, April 21",Will Jacks,out,55,32,39,4,5,171.87
"36th Match (D/N), Eden Gardens, April 21",Rajat Patidar,out,52,23,35,3,5,226.08
"36th Match (D/N), Eden Gardens, April 21",Cameron Green,out,6,4,7,0,1,150.00
"36th Match (D/N), Eden Gardens, April 21",Suyash Prabhudessai,out,24,18,29,3,0,133.33
"36th Match (D/N), Eden Gardens, April 21",Mahipal Lomror,out,4,3,1,1,0,133.33
"36th Match (D/N), Eden Gardens, April 21",Dinesh Karthik †,out,25,18,32,3,1,138.88
"36th Match (D/N), Eden Gardens, April 21",Karn Sharma,out,20,7,17,0,3,285.71
"36th Match (D/N), Eden Gardens, April 21",Mohammed Siraj,not out,0,0,9,0,0,-
"36th Match (D/N), Eden Gardens, April 21",Lockie Ferguson,out,1,1,2,0,0,100.00
"37th Match (N), Mullanpur, April 21",Sam Curran (c),out,20,19,40,2,0,105.26
"37th Match (N), Mullanpur, April 21",Prabhsimran Singh,out,35,21,27,3,3,166.66
"37th Match (N), Mullanpur, April 21",Rilee Rossouw,out,9,7,7,2,0,128.57
"37th Match (N), Mullanpur, April 21",Jitesh Sharma †,out,13,12,20,0,1,108.33
"37th Match (N), Mullanpur, April 21",Liam Livingstone,out,6,9,10,1,0,66.66
"37th Match (N), Mullanpur, April 21",Shashank Singh,out,8,12,19,0,0,66.66
"37th Match (N), Mullanpur, April 21",Ashutosh Sharma,out,3,8,7,0,0,37.50
"37th Match (N), Mullanpur, April 21",Harpreet Singh,out,14,19,33,0,0,73.68
"37th Match (N), Mullanpur, April 21",Harpreet Brar,out,29,12,20,4,1,241.66
"37th Match (N), Mullanpur, April 21",Harshal Patel,out,0,1,1,0,0,0.00
"37th Match (N), Mullanpur, April 21",Kagiso Rabada,not out,1,1,4,0,0,100.00
"37th Match (N), Mullanpur, April 21",Wriddhiman Saha †,out,13,11,15,1,0,118.18
"37th Match (N), Mullanpur, April 21",Shubman Gill (c),out,35,29,39,5,0,120.68
"37th Match (N), Mullanpur, April 21",Sai Sudharsan,out,31,34,43,3,0,91.17
"37th Match (N), Mullanpur, April 21",David Miller,out,4,6,9,0,0,66.66
"37th Match (N), Mullanpur, April 21",Azmatullah Omarzai,out,13,10,13,0,1,130.00
"37th Match (N), Mullanpur, April 21",Rahul Tewatia,not out,36,18,28,7,0,200.00
"37th Match (N), Mullanpur, April 21",M Shahrukh Khan,out,8,4,17,0,1,200.00
"37th Match (N), Mullanpur, April 21",Rashid Khan,out,3,3,4,0,0,100.00
"37th Match (N), Mullanpur, April 21",Sai Kishore,not out,0,0,1,0,0,-
"38th Match (N), Jaipur, April 22",Rohit Sharma,out,6,5,4,1,0,120.00
"38th Match (N), Jaipur, April 22",Ishan Kishan †,out,0,3,9,0,0,0.00
"38th Match (N), Jaipur, April 22",Suryakumar Yadav,out,10,8,15,2,0,125.00
"38th Match (N), Jaipur, April 22",Tilak Varma,out,65,45,85,5,3,144.44
"38th Match (N), Jaipur, April 22",Mohammad Nabi,out,23,17,20,2,1,135.29
"38th Match (N), Jaipur, April 22",Nehal Wadhera,out,49,24,36,3,4,204.16
"38th Match (N), Jaipur, April 22",Hardik Pandya (c),out,10,10,11,1,0,100.00
"38th Match (N), Jaipur, April 22",Tim David,out,3,5,10,0,0,60.00
"38th Match (N), Jaipur, April 22",Gerald Coetzee,out,0,1,1,0,0,0.00
"38th Match (N), Jaipur, April 22",Piyush Chawla,not out,1,1,3,0,0,100.00
"38th Match (N), Jaipur, April 22",Jasprit Bumrah,not out,2,1,1,0,0,200.00
"38th Match (N), Jaipur, April 22",Yashasvi Jaiswal,not out,104,60,88,9,7,173.33
"38th Match (N), Jaipur, April 22",Jos Buttler,out,35,25,36,6,0,140.00
"38th Match (N), Jaipur, April 22",Sanju Samson (c)†,not out,38,28,50,2,2,135.71
"39th Match (N), Chennai, April 23",Ajinkya Rahane,out,1,3,4,0,0,33.33
"39th Match (N), Chennai, April 23",Ruturaj Gaikwad (c),not out,108,60,102,12,3,180.00
"39th Match (N), Chennai, April 23",Daryl Mitchell,out,11,10,22,1,0,110.00
"39th Match (N), Chennai, April 23",Ravindra Jadeja,out,16,19,29,2,0,84.21
"39th Match (N), Chennai, April 23",Shivam Dube,out,66,27,41,3,7,244.44
"39th Match (N), Chennai, April 23",MS Dhoni †,not out,4,1,1,1,0,400.00
"39th Match (N), Chennai, April 23",Quinton de Kock,out,0,3,2,0,0,0.00
"39th Match (N), Chennai, April 23",KL Rahul (c)†,out,16,14,25,1,1,114.28
"39th Match (N), Chennai, April 23",Marcus Stoinis,not out,124,63,104,13,6,196.82
"39th Match (N), Chennai, April 23",Devdutt Padikkal,out,13,19,27,0,0,68.42
"39th Match (N), Chennai, April 23",Nicholas Pooran,out,34,15,32,3,2,226.66
"39th Match (N), Chennai, April 23",Deepak Hooda,not out,17,6,20,2,1,283.33
"40th Match (N), Delhi, April 24",Prithvi Shaw,out,11,7,21,2,0,157.14
"40th Match (N), Delhi, April 24",Jake Fraser-McGurk,out,23,14,16,2,2,164.28
"40th Match (N), Delhi, April 24",Axar Patel,out,66,43,59,5,4,153.48
